movieId,title,genres,tmdbId,tags_text,n_ratings,avg_rating,tmdb_page_url,poster_url,doc_text
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,862,"fun, pixar",215,3.9209302325581397,https://www.themoviedb.org/movie/862,https://image.tmdb.org/t/p/w342/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,"Title: Toy Story (1995) | Genres: Adventure|Animation|Children|Comedy|Fantasy | Tags: fun, pixar | Avg rating: 3.9209302325581397 (215 ratings)"
2,Jumanji (1995),Adventure|Children|Fantasy,8844,"game, magic board game, Robin Williams, fantasy",110,3.4318181818181817,https://www.themoviedb.org/movie/8844,https://image.tmdb.org/t/p/w342/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,"Title: Jumanji (1995) | Genres: Adventure|Children|Fantasy | Tags: game, magic board game, Robin Williams, fantasy | Avg rating: 3.4318181818181817 (110 ratings)"
3,Grumpier Old Men (1995),Comedy|Romance,15602,"moldy, old",52,3.2596153846153846,https://www.themoviedb.org/movie/15602,https://image.tmdb.org/t/p/w342/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,"Title: Grumpier Old Men (1995) | Genres: Comedy|Romance | Tags: moldy, old | Avg rating: 3.2596153846153846 (52 ratings)"
4,Waiting to Exhale (1995),Comedy|Drama|Romance,31357,"",7,2.357142857142857,https://www.themoviedb.org/movie/31357,https://image.tmdb.org/t/p/w342/qJU6rfil5xLVb5HpJsmmfeSK254.jpg,Title: Waiting to Exhale (1995) | Genres: Comedy|Drama|Romance | Tags:  | Avg rating: 2.357142857142857 (7 ratings)
5,Father of the Bride Part II (1995),Comedy,11862,"remake, pregnancy",49,3.0714285714285716,https://www.themoviedb.org/movie/11862,https://image.tmdb.org/t/p/w342/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,"Title: Father of the Bride Part II (1995) | Genres: Comedy | Tags: remake, pregnancy | Avg rating: 3.0714285714285716 (49 ratings)"
6,Heat (1995),Action|Crime|Thriller,949,"",102,3.946078431372549,https://www.themoviedb.org/movie/949,https://image.tmdb.org/t/p/w342/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,Title: Heat (1995) | Genres: Action|Crime|Thriller | Tags:  | Avg rating: 3.946078431372549 (102 ratings)
7,Sabrina (1995),Comedy|Romance,11860,remake,54,3.185185185185185,https://www.themoviedb.org/movie/11860,https://image.tmdb.org/t/p/w342/i8PbLJDPU7vCwwscWD625oHbJy.jpg,Title: Sabrina (1995) | Genres: Comedy|Romance | Tags: remake | Avg rating: 3.185185185185185 (54 ratings)
8,Tom and Huck (1995),Adventure|Children,45325,"",8,2.875,https://www.themoviedb.org/movie/45325,https://image.tmdb.org/t/p/w342/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,Title: Tom and Huck (1995) | Genres: Adventure|Children | Tags:  | Avg rating: 2.875 (8 ratings)
9,Sudden Death (1995),Action,9091,"",16,3.125,https://www.themoviedb.org/movie/9091,https://image.tmdb.org/t/p/w342/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg,Title: Sudden Death (1995) | Genres: Action | Tags:  | Avg rating: 3.125 (16 ratings)
10,GoldenEye (1995),Action|Adventure|Thriller,710,"",132,3.496212121212121,https://www.themoviedb.org/movie/710,https://image.tmdb.org/t/p/w342/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,Title: GoldenEye (1995) | Genres: Action|Adventure|Thriller | Tags:  | Avg rating: 3.496212121212121 (132 ratings)
11,"American President, The (1995)",Comedy|Drama|Romance,9087,"president, politics",70,3.6714285714285713,https://www.themoviedb.org/movie/9087,https://image.tmdb.org/t/p/w342/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,"Title: American President, The (1995) | Genres: Comedy|Drama|Romance | Tags: president, politics | Avg rating: 3.6714285714285713 (70 ratings)"
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12110,"",19,2.4210526315789473,https://www.themoviedb.org/movie/12110,https://image.tmdb.org/t/p/w342/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,Title: Dracula: Dead and Loving It (1995) | Genres: Comedy|Horror | Tags:  | Avg rating: 2.4210526315789473 (19 ratings)
13,Balto (1995),Adventure|Animation|Children,21032,"",8,3.125,https://www.themoviedb.org/movie/21032,https://image.tmdb.org/t/p/w342/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,Title: Balto (1995) | Genres: Adventure|Animation|Children | Tags:  | Avg rating: 3.125 (8 ratings)
14,Nixon (1995),Drama,10858,"politics, president",18,3.8333333333333335,https://www.themoviedb.org/movie/10858,https://image.tmdb.org/t/p/w342/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,"Title: Nixon (1995) | Genres: Drama | Tags: politics, president | Avg rating: 3.8333333333333335 (18 ratings)"
